address,Latitude,Longitude,count,paperID
"Chinese Acad Sci, Kunming Inst Zool, Yunnan Lab Mol Biol Domest Anim, Kunming, Yunnan, Peoples R China",24.8796599,102.83322,3,A3010
"ICAR Natl Bur Anim Genet Resources NBAGR, GT Rd Bye Pass, Kernal, Haryana, India",29.6928565,76.9872623,1,A3010
"Chinese Acad Agr Sci, Inst Anim Sci, CAAS ILRI Joint Lab Livestock & Forage Genet Reso, Beijing, Peoples R China",39.904211,116.407395,1,A3010
"ILRI, Nairobi, Kenya",-1.270649,36.724023,1,A3010
"Zool Survey India, Kolkata, W Bengal, India",22.572646,88.363895,1,A3010
"WWF India Secretariat, TRAFFIC, 172-B Lodhi Estate, New Delhi, India",28.590965,77.223072,1,A3010
NA,,,1,A3113
"MITS Sch Biotechnol, Dept Biotechnol, Bhubaneswar 751024, Odisha, India",20.3435449,85.8066629,1,A1692
"Coll Engn & Technol, Dept Biotechnol, Bhubaneswar 751003, Odisha, India",20.2915796,85.7564107,2,A1692
"Cent Rice Res Inst, Div Crop Prod, Microbiol Lab, Cuttack 753006, Odisha, India",20.4537085,85.9337698,1,A1692
NA,,,NA,B0025
"Cent Res Inst Dryland Agr, Hyderabad 500059, Andhra Pradesh, India",15.9128998,79.7399875,8,A1692
"Indian Tobacco Co ITC, Paper Boards & Specialty Papers Div PSPD, Secunderabad 500003, India",17.4369259,78.4894015,1,A1692
"Indian Tobacco Co ITC, Paper Boards & Specialty Papers Div PSPD, Khammam Dt 507201, Andhra Pradesh, India",16.8110192,80.5216184,1,A1692
"Univ Delhi, Delhi Sch Econ, Dept Geog, Delhi 110007, India",28.688279,77.214811,2,A2665
"Govt West Bengal, West Bengal Biodivers Board, Dept Environm, Kolkata 700106, India",22.5633715,88.414116,1,A2665
"ICMR Natl Inst Virol, Maximum Containment Facil, Microbial Containment Complex,Sus Rd, Pune 411021, Maharashtra, India",18.5527122,73.7553618,9,A1216
"Univ Lyon, F-42023 St Etienne, France",45.439695,4.3871779,4,A1341
"Univ St Etienne, Lab BVpam, EA3061, 23 Rue Dr Paul Michelon, F-42000 St Etienne, France",45.423379,4.4257127,4,A1341
"Univ Lyon, F-69622 Lyon, France",45.764043,4.835659,1,A1341
"Univ Lyon 1, Villeurbanne, France",45.7795871,4.8656025,1,A1341
"CNRS, Ecol Microbienne, UMR5557, Villeurbanne, France",45.7804466,4.8672974,1,A1341
