cor.locs,Latitude,Longitude
"Wildlife Inst India, POB 18, Dehra Dun 248001, Uttar Pradesh, India.",27.5705886,80.0981869
"ITC LSTC, Peenya Ind Area, 3 1st Main,Phase1, Bangalore 560058, Karnataka, India.",13.0416825,77.5237599
NA,,
NA,,
"Kuvempu Univ, Dept PG Studies & Res Environm Sci, Shivamogga 577451, Karnataka, India.",13.8422333,75.6731734
"Andhra Univ, Dept Bot, Visakhapatnam 530, Visakhapatnam 003, Andhra Pradesh, India.",17.7287213,83.3241592
"ICAR Natl Inst Abiot Stress Management, Baramati 413115, India.",18.1592193,74.5006938
"Alvas Coll, Post Grad Dept Biotechnol, Moodbidri 574227, Karnataka, India.",13.0624852,74.9770224
NA,,
NA,,
"Natl Bot Res Inst, CSIR, Mol Biol & Genet Lab, Rana Pratap Marg, Lucknow 226001, Uttar Pradesh, India.",26.8562834,80.948002
"Sai Nath Univ, Ranchi, Bihar, India.",23.4885982,85.4083096
"Univ Delhi, Ctr Environm Management Degraded Ecosyst, Sch Environm Studies, Delhi 110007, India.",28.6785828,77.191584
"Chinese Acad Sci, Wuhan Bot Garden, Key Lab Aquat Bot & Watershed Ecol, Wuhan 430074, Peoples R China.",30.5927599,114.30525
"Bidhan Chandra Krishi Viswavidyalaya, Dept Agr Meteorol & Phys, Mohanpur, India.",22.9452453,88.5335715
"Pondicherry Univ, Dept Ecol & Environm Sci, Pondicherry 605014, India.",12.0182619,79.8568461
"Natl Inst Technol Raipur, Dept Civil Engn, Raipur, Madhya Pradesh, India.",23.4298973,77.4149715
"Ohio State Univ, Ohio Agr Res & Dev Ctr, Columbus, OH 43210 USA.",40.0066723,-83.0304546
"Amity Univ, Amity Inst Biotechnol, Sect 125, Noida 201303, Uttar Pradesh, India.",28.5442072,77.3318903
"Savitribai Phule Pune Univ Formerly Univ Pune, Bioinformat Ctr, Pune 411007, Maharashtra, India.",18.5551349,73.8225725
"Ashoka Trust Res Ecol & Environm, Bengaluru, India.",13.0642925,77.6202162
"IVRI, Izatnagar, Uttar Pradesh, India.",28.3904755,79.4357971
"Univ Massachusetts, Dept Biol, Boston, MA 02125 USA.",42.3157363,-71.0527482
"Natl Res Ctr Agroforestry NRCAF, Gwalior Rd, Jhansi 284003, Uttar Pradesh, India.",25.4512035,78.5893257
NA,,
NA,,
"Shivaji Univ, Cytogenet & Plant Breeding Lab, Dept Bot, Kolhapur 416004, Maharashtra, India.",16.6779832,74.2555867
"Cent Univ Kerala, Kasaragod 671316, Kerala, India.",12.3921243,75.0926584
"Pondicherry Univ, Sch Life Sci, Dept Ecol & Environm Sci, EISML, Pondicherry 605014, India.",12.0182619,79.8568461
"Jawaharlal Nehru Trop Bot Garden & Res Inst, Div Conservat Biol, Karimancode PO Palode, Thiruvananthapuram 695562, Kerala, India.",8.734863,77.0288357
