cor.locs,Latitude,Longitude,cor.locs2
"Indian Inst Sci, Ctr Ecol Sci, Energy Res Grp, CES RNO 215, Bangalore 560012, Karnataka, India.",13.023622,77.5638047,"Indian Inst Sci, Ctr Ecol Sci, Energy Res Grp, CES RNO 215, Bangalore 560012, Karnataka, India"
"Univ Colombo, Fac Sci, Dept Zool, 94 Cumaratunga Munidasa Mawatha, Colombo 03, Sri Lanka.",6.9000149,79.8587938,"Univ Colombo, Fac Sci, Dept Zool, 94 Cumaratunga Munidasa Mawatha, Colombo 03, Sri Lanka"
"Birbal Sahni Inst Paleobot, 53 Univ Rd, Lucknow 226007, Uttar Pradesh, India.",26.8671761,80.9392066,"Birbal Sahni Inst Paleobot, 53 Univ Rd, Lucknow 226007, Uttar Pradesh, India"
"Argonne Natl Lab, Decis & Informat Sci Div, 9700 S Cass Ave, Argonne, IL 60439 USA.",41.7182827,-87.9788697,"Argonne Natl Lab, Decis & Informat Sci Div, 9700 S Cass Ave, Argonne, IL 60439 USA"
"Guru Angad Dev Vet & Anim Sci Univ, Sch Publ Hlth & Zoonoses, Ludhiana, Punjab, India.",30.8915684,75.8001012,"Guru Angad Dev Vet & Anim Sci Univ, Sch Publ Hlth & Zoonoses, Ludhiana, Punjab, India"
"Natl Bur Plant Genet Resources, Tissue Culture & Cryopreservat Unit, Pusa Campus, New Delhi 110012, India.",28.6331469,77.1524959,"Natl Bur Plant Genet Resources, Tissue Culture & Cryopreservat Unit, Pusa Campus, New Delhi 110012, India"
"Dr Harisingh Gour Vishwavidyalaya Cent Univ, Dept Bot, Sagar 470003, Madhya Pradesh, India.",23.8265828,78.7751302,"Dr Harisingh Gour Vishwavidyalaya Cent Univ, Dept Bot, Sagar 470003, Madhya Pradesh, India"
NA,,,NA
"Indian Inst Sci Educ & Res Bhopal, Dept Earth & Environm Sci, Bhopal Bypass Rd, Bhopal 462066, Madhya Pradesh, India.",23.2666891,77.4131785,"Indian Inst Sci Educ & Res Bhopal, Dept Earth & Environm Sci, Bhopal Bypass Rd, Bhopal 462066, Madhya Pradesh, India"
"Nat Conservat Fdn, 3076-5,4th Cross,Gokulam Pk, Mysore 570002, Karnataka, India.",12.3309526,76.6320163,"Nat Conservat Fdn, 3076-5,4th Cross,Gokulam Pk, Mysore 570002, Karnataka, India"
"Gujarat Univ, Dept Climate Change Impacts Management, Ahmadabad 380009, Gujarat, India.",23.0391981,72.543715,"Gujarat Univ, Dept Climate Change Impacts Management, Ahmadabad 380009, Gujarat, India"
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
"Natl Inst Adv Studies, Indian Inst Sci Campus, Bengaluru 560012, India.",13.029156,77.5642728,"Natl Inst Adv Studies, Indian Inst Sci Campus, Bengaluru 560012, India"
"Natl Ctr Biol Sci, Postgrad Program Wildlife Biol & Conservat, GKVK Campus,Bellary Rd, Bangalore 560065, Karnataka, India.",13.0773484,77.5778085,"Natl Ctr Biol Sci, Postgrad Program Wildlife Biol & Conservat, GKVK Campus,Bellary Rd, Bangalore 560065, Karnataka, India"
"Indian Inst Technol, Dept Civil Engn, Geomat Grp, Roorkee 247667, Uttar Pradesh, India.",27.5705886,80.0981869,"Indian Inst Technol, Dept Civil Engn, Geomat Grp, Roorkee 247667, Uttar Pradesh, India"
NA,,,NA
NA,,,NA
"Dr Yashwant Singh Parmar Univ Hort & Forestry, Microbiol Sect, Dept Basic Sci, Solan 173230, HP, India.",31.2194893,76.9815877,"Dr Yashwant Singh Parmar Univ Hort & Forestry, Microbiol Sect, Dept Basic Sci, Solan 173230, HP, India"
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
"Bangor Univ, Sch Environm Nat Resources & Geog SENRGY, Bangor LL57 2UW, Gwynedd, Wales.",53.2261504,-4.1316678,"Bangor Univ, Sch Environm Nat Resources & Geog SENRGY, Bangor LL57 2UW, Gwynedd, Wales"
