"","cor.locs","Latitude","Longitude","cor.locs2"
"567","Bharathidasan Univ, Sch Life Sci, Dept Bot, Tiruchirappalli 620024, Tamil Nadu, India.",NA,NA,"Bharathidasan Univ, Sch Life Sci, Dept Bot, Tiruchirappalli 620024, Tamil Nadu, India"
"568",NA,NA,NA,NA
"569","Forest Res Inst, Bot Div, PO New Forest, Dehra Dun 248006, Uttar Pradesh, India.",NA,NA,"Forest Res Inst, Bot Div, PO New Forest, Dehra Dun 248006, Uttar Pradesh, India"
"573",NA,NA,NA,NA
"575",NA,NA,NA,NA
"576","Tripura Univ, Dept Geog & Disaster Management, Agartala 799130, Tripura West, India.",NA,NA,"Tripura Univ, Dept Geog & Disaster Management, Agartala 799130, Tripura West, India"
"577",NA,NA,NA,NA
"578","ICAR Indian Inst Soil & Water Conservat, Dehra Dun, Uttarakhand, India.",NA,NA,"ICAR Indian Inst Soil & Water Conservat, Dehra Dun, Uttarakhand, India"
"582",NA,NA,NA,NA
"586",NA,NA,NA,NA
"588",NA,NA,NA,NA
"590","Indian Inst Sci, Asian Nat Conservat Fdn, Innovation Ctr 1st Floor, Bangalore 560012, Karnataka, India.",NA,NA,"Indian Inst Sci, Asian Nat Conservat Fdn, Innovation Ctr 1st Floor, Bangalore 560012, Karnataka, India"
"591","Birbal Sahni Inst Palaeosci, 53 Univ Rd, Lucknow 226007, Uttar Pradesh, India.",NA,NA,"Birbal Sahni Inst Palaeosci, 53 Univ Rd, Lucknow 226007, Uttar Pradesh, India"
"592","Univ Lyon 1, CNRS, UMR 5558, Lab Biometrie & Biol Evolut, 43 Bd 11 Novembre 1918, F-69622 Villeurbanne, France.",NA,NA,"Univ Lyon 1, CNRS, UMR 5558, Lab Biometrie & Biol Evolut, 43 Bd 11 Novembre 1918, F-69622 Villeurbanne, France"
