"","address","count","paperID","Latitude","Longitude"
"1170",NA,"3","A2825",NA,NA
"1172",NA,NA,"A3243",NA,NA
"1173",NA,"1","A3072",NA,NA
"1174",NA,NA,"B0014",NA,NA
"1180",NA,NA,"C0033",NA,NA
"1181",NA,"3","A3210",NA,NA
"1192",NA,"2","A2772",NA,NA
"1193","Ctr Environm Planning & Technol CEPT Univ, Ahmadabad 380009, Gujarat, India","2","A1692",NA,NA
"1194","Govt India, Dept Space, Indian Space Res Org, IIRS, 4 Kalidas Rd, Dehra Dun 248001, Uttarakhand, India","3","A1692",NA,NA
"1195","Univ Hyderabad, Univ Ctr Earth & Space Sci, Prof CR Rao Rd, Hyderabad 500046, Andhra Pradesh, India","1","A1692",NA,NA
"1196","Veer Chandra Singh Garhwali Uttarakhand Univ Hort, Coll Forestry, Ranichauri 249199, India","6","A2665",NA,NA
"1197","Indira Gandhi Natl Tribal Univ, Dept Environm Sci, Amarkantak 484887, India","1","A2665",NA,NA
"1198","French Inst Pondicherry, UMIFRE 21, USR 3330, CNRS MAEE, Pondicherry, India","7","A1524",NA,NA
"1199","Univ Guyane, Univ Antilles, INRAE, CNRS,UMR EcoFoG,Agroparistech,Cirad, Kourou, French Guiana","1","A1524",NA,NA
"1200","Univ Montpellier, AMAP, IRD, CNRS,CIRAD,INRA, Montpellier, France","1","A1524",NA,NA
"1201","Indian Space Res Org, Natl Remote Sensing Ctr, Hyderabad, India","1","A1524",NA,NA
"1202","Univ Grenoble Alpes, Lab Interdisciplinaire Phys, Grenoble, France","1","A1524",NA,NA
"1203","NIT, Dept Biotechnol, Yupia 791112, Arunachal Prade, India","2","A2665",NA,NA
"1204","Rajiv Gandhi Univ, Dept Bot, Ctr Potential Excellence Biodivers, Higher Plant Div & Validat Unit, Rono Hills, Doimukh 791112, Arunachal Prade, India","1","A2665",NA,NA
"1205","Wageningen Univ, Forest & Nat Conservat Policy Grp, NL-6700 AP Wageningen, Netherlands","3","A1692",NA,NA
"1206","Univ Utrecht, Copernicus Inst Susthinable Dev, NL-3508 TC Utrecht, Netherlands","1","A1692",NA,NA
"1207","Wageningen Univ, Strateg Commun Grp, NL-6700 AP Wageningen, Netherlands","1","A1692",NA,NA
"1214",NA,"1","A2493",NA,NA
"1224",NA,NA,"C0200",NA,NA
"1225",NA,NA,"C0162",NA,NA
"1235",NA,"5","A3152",NA,NA
"1244",NA,"1","A2910",NA,NA
"1245",NA,"1","A3196",NA,NA
"1246",NA,NA,"C0117",NA,NA
"1247",NA,NA,"C0228",NA,NA
"1248",NA,NA,"C0284",NA,NA
"1249",NA,NA,"C0259",NA,NA
"1250",NA,NA,"C0014",NA,NA
"1260",NA,NA,"C0182",NA,NA
"1262",NA,NA,"C0180",NA,NA
"1263",NA,NA,"C0008",NA,NA
"1284",NA,NA,"C0037",NA,NA
"1289",NA,"3","A2929",NA,NA
"1292",NA,NA,"C0006",NA,NA
"1293",NA,"1","A2934",NA,NA
"1294",NA,"2","A2847",NA,NA
"1301",NA,NA,"C0086",NA,NA
"1302",NA,"1","A2749",NA,NA
"1303",NA,"3","A2850",NA,NA
"1304",NA,"1","A3088",NA,NA
"1325",NA,"1","A3067",NA,NA
"1327",NA,NA,"C0223",NA,NA
"1334",NA,NA,"B0012",NA,NA
"1337",NA,"1","A3256",NA,NA
"1338","Cent Univ Rajasthan, Sch Earth Sci, Dept Environm Sci, Remote Sensing & GIS Lab, NH-8, Ajmer 305817, Rajasthan, India","2","A0114",NA,NA
"1339","Univ Gottingen, Dept Forest Genet & Forest Tree Breeding, Busgenweg 2, D-37077 Gottingen, Germany","3","A1692",NA,NA
"1340","Forest Res Inst, Forest Bot & Tree Improvement Sect, Yezin 05282, Nay Pyi Taw, Myanmar","1","A1692",NA,NA
"1341","Michigan Technol Univ, Sch Forest Resources & Environm Sci, 1400 Townsend Dr, Houghton, MI 49931 USA","1","A1692",NA,NA
"1342","China Univ Min & Technol, State Key Lab Coal Resources & Safe Min, Xuzhou, Jiangsu, Peoples R China","3","A3105",NA,NA
"1343","Nat Hist Museum, Dept Earth Sci, Cromwell Rd, London SW7 5BD, England","1","A3105",NA,NA
"1344","China Univ Min & Technol, Sch Resources & Geosci, Xuzhou 221116, Jiangsu, Peoples R China","1","A3105",NA,NA
"1345","China Univ Min & Technol, Coll Geosci & Survey Engn, Beijing 100083, Peoples R China","1","A3105",NA,NA
"1346","Chinese Acad Sci, Inst Geol & Geophys, Beijing, Peoples R China","1","A3105",NA,NA
"1347","Univ Nottingham, Dept Chem & Environm Engn, Nottingham Rd, Nottingham, England","1","A3105",NA,NA
"1348","Univ New South Wales, Sch Biol Earth & Environm Sci, Sydney, NSW, Australia","1","A3105",NA,NA
"1349","CSIR, Acad Sci & Innovat Res, New Delhi 110001, India","3","A2665",NA,NA
"1350","CSIR Indian Inst Toxicol Res, Div Environm Chem, Lucknow 226001, Uttar Pradesh, India","3","A2665",NA,NA
"1351",NA,"1","A2837",NA,NA
"1352","Abasaheb Garware Coll, Annasaheb Kulkarni Dept Biodivers, Pune 4, Maharashtra, India","1","A1692",NA,NA
"1353","Abasaheb Garware Coll, Dept Zool, Pune 4, Maharashtra, India","1","A1692",NA,NA
"1354","Modern Coll, Dept Zool, Pune 5, Maharashtra, India","1","A1692",NA,NA
"1355",NA,"2","A3112",NA,NA
"1356",NA,"1","A3027",NA,NA
